64760.44,0.39211714
64764.19,0.60534722
64810.35,1.99628498
64746.05,0.43079471
64740.39,0.66606087
64741.22,0.94668151
64743.23,0.739811
64742.62,1.64138543
64706.72,0.6500904
64690.94,1.59604457
64665.62,0.62373816
64650.83,0.84865209
64657.27,0.17964818
64646.47,0.59953034
64650.0,1.10118783
64623.64,1.14565839
64600.0,0.01230387
64600.01,1.84232292
64541.63,0.49433931
64552.67,0.01458329
64554.42,15.36913111
64403.35,1.29534093
64490.99,5.49910597
64545.93,0.19414297
64563.76,3.38574807
64583.38,1.37734683
64559.42,1.38796843
64490.01,2.3477313
64433.65,0.38256852
64411.12,1.2828846
64415.87,0.06629448
64446.84,1.67263037
64358.78,0.66596516
64446.5,1.31136133
64440.0,0.91522582
64419.8,0.17088275
64480.36,0.89912141
64494.57,0.09505165
64503.66,0.99069737
64485.33,1.7254626
64467.21,1.32156681
64488.75,1.19481666
64430.32,1.42070832
64406.91,0.60657875
64407.27,0.68417267
64439.07,1.01455908
64397.51,0.12409203
64421.17,0.0047857
64421.18,0.175573
64427.62,0.23752543
64450.29,0.505478
64432.18,0.44633935
64450.69,0.47217354
64455.39,0.21617708
64483.38,0.59697427
64493.77,0.66911137
64487.01,1.27555056
64471.97,0.22437962
64473.49,2.30682436
64485.87,1.00340025
64570.22,0.33326686
64583.76,0.26288041
64579.03,2.82764114
64589.33,0.37835928
64600.96,0.26467415
64606.47,1.22612544
64641.32,0.79101504
64616.65,0.00811608
64616.65,0.33181868
64580.26,0.738724
64556.29,1.93840589
64566.31,1.60693503
64572.04,0.51056668
64549.7,9.04242316
64547.73,1.41043227
64521.19,0.62635907
64518.2,0.06211711
64512.69,0.2588045
64496.56,1.77899001
64460.0,0.01202433
64459.99,0.23865272
64485.3,0.53795371
64485.31,0.43264547
64474.02,0.24783354
64451.51,0.13981684
64481.03,0.05348512
64488.43,0.16603666
64500.39,2.03488822
64504.52,0.53022857
64500.23,2.29702472
64499.36,0.93255902
64459.8,0.07962084
64474.05,0.27101034
64459.8,0.4085124
64447.85,0.26239824
64496.84,0.24242351
64510.22,0.64507789
64490.65,0.78776973
64507.92,0.33856182
64484.52,1.62769932
64440.78,0.56401505
64475.1,0.80395498
64486.52,0.86864902
64538.45,1.84938641
64512.12,0.05189493
64525.85,0.47334445
64546.89,5.41085848
64524.94,1.47250368
64580.82,3.07455902
64599.99,1.30851854
64581.0,6.53546599
64506.45,1.33457544
64516.21,1.02937277
64525.09,0.32554013
64537.63,0.12114853
64577.52,0.14790636
64567.87,0.39489022
64579.32,3.88234945
64592.32,0.06763616
64553.25,0.00820027
64529.04,0.2190107
64530.96,0.02985591
64526.67,0.13000708
64537.41,0.10999558
64526.28,0.06863642
64515.92,0.19792027
64538.91,0.35954791
64517.72,0.6835513
64511.66,0.07008436
64533.5,0.11509566
64560.43,0.03327315
64568.27,0.9289266
64554.91,0.15946942
64563.55,0.03636816
64562.41,0.10540114
64540.04,0.06233881
64547.76,0.191717
64529.81,2.20822114
64535.81,0.20813308
64521.47,0.30013047
64530.96,0.24914546
64525.81,0.1174247
64558.28,8.65105267
64593.04,0.76715866
64585.46,0.33316385
64565.44,0.2017166
64552.92,0.50923437
64541.07,2.74123908
64540.16,0.15180544
64569.15,0.04527305
64579.04,0.09998231
64591.08,0.65013564
64627.83,0.33478425
64607.21,0.35075895
64584.82,0.82653889
64587.26,0.98933211
64583.84,0.74095726
64582.5,0.82311975
64582.85,1.80466507
64523.0,6.35316083
64499.36,0.00921995
64497.8,0.42653754
64494.77,3.58267195
64493.18,0.84468083
64472.5,0.75650251
64468.78,1.00148761
64494.2,0.30397715
64463.79,0.00327916
64453.77,0.41083732
64469.59,0.01471256
64469.59,0.02030684
64468.02,0.20884569
64502.56,0.00220462
64498.27,0.06184852
64501.33,0.43817422
64527.32,0.1501014
64550.93,0.42136141
64549.44,0.20575413
64546.35,0.18701067
64555.43,1.12347561
64554.01,0.82197187
64571.15,1.61698241
64591.24,0.18468193
64590.3,0.01371864
64590.3,1.29066048
64587.98,0.27663836
64620.66,0.7925498
64596.91,0.43408597
64586.45,0.21116572
64528.07,3.915356
64527.69,0.24846572
64515.09,1.62832763
64474.04,1.86450296
64489.99,0.52913339
64470.02,6.98064936
64450.97,0.02334472
64442.98,0.10325818
64438.62,1.22628488
64442.22,0.20918741
64461.82,0.86968307
64457.38,0.85776805
64457.38,0.072844
64438.35,1.15410629
64442.67,0.68684241
64422.58,2.61472672
64428.15,0.16629241
64445.79,0.11398772
64465.02,0.65454617
64443.6,0.05696716
64452.92,0.49712964
64444.88,0.03481442
64444.87,0.1988428
64441.08,1.43121955
64420.9,0.00972267
64417.48,0.04261619
64412.01,0.0219964
64408.45,0.16316095
64420.89,0.51074492
64407.49,6.43220063
64395.23,0.34770614
64396.78,0.62782738
64402.29,0.29567488
64406.99,0.00980371
64403.49,0.19927497
64406.98,0.56377142
64402.29,0.00173548
64402.29,0.01165277
64399.39,0.14196585
64384.2,0.2175513
64392.73,1.19541666
64397.56,0.00350155
64392.74,0.00457234
64383.03,0.00267276
64388.14,0.36726286
64441.54,0.03009755
64441.54,0.23454364
64457.49,0.72495553
64469.18,0.01239058
64445.1,0.13577164
64438.15,1.98820085
64423.24,0.0095488
64407.72,0.03085456
64417.68,0.00577101
64419.5,1.08202575
64472.61,2.05731817
64471.95,2.8444777
64491.99,0.0621571
64498.99,1.92922266
64544.79,0.23236239
64523.87,0.35228926
64544.0,1.74179688
64511.18,9.46556284
64481.73,0.30384739
64508.42,0.54117106
64515.54,0.71477291
64535.29,0.13594787
64528.59,0.51781976
64531.14,0.67277882
64556.78,0.59538492
64553.08,0.11453702
64565.29,0.02136461
64565.29,0.15979869
64574.87,0.2780633
64573.64,0.02275694
64573.64,0.08073844
64580.37,0.0008027
64580.37,0.35344423
64603.03,0.0162654
64593.56,0.78646489
64583.95,1.18971388
64600.61,0.05698463
64601.04,0.35617153
64580.13,0.06171093
64580.14,0.03646798
64581.79,0.18902111
64580.14,0.01072592
64580.14,0.53936148
64621.86,0.06935458
64621.86,0.02315428
64611.04,0.04048414
64616.77,2.66401635
64635.79,0.0382222
64626.44,0.25544348
64635.77,0.0753279
64635.77,0.24071105
64634.79,1.03504521
64640.49,0.00375836
64638.41,0.00054692
64634.68,1.27887054
64700.75,1.46466743
64734.25,1.58844264
64824.97,1.88883357
64737.54,2.2967832
64701.62,1.15463319
64683.29,2.36916869
64664.28,0.65090914
64670.27,0.34301032
64670.27,1.1914538
64680.79,0.04894908
64655.04,0.72079306
64655.4,0.94467054
64615.75,0.00176357
64615.74,0.15481182
64603.0,0.0036971
64603.99,0.67221723
64618.78,0.10848621
64618.78,0.29581335
64625.14,0.65061638
64619.87,0.25334308
64624.02,1.6955862
